ZEIT;RAUM;MERKMAL;WERT
2015;91 Berg Fidel;Anteil der weiblichen Kinder mit Migrationsvorgeschichte an allen weiblichen Kindern - Kernindikator 3;72.83
2020;91 Berg Fidel;Anteil der Kinder mit Migrationsvorgeschichte an allen Kindern - Kernindikator 3;72.58
2015;91 Berg Fidel;Anteil der Kinder mit Migrationsvorgeschichte an allen Kindern - Kernindikator 3;72.37
2021;91 Berg Fidel;Anteil der weiblichen Kinder mit Migrationsvorgeschichte an allen weiblichen Kindern - Kernindikator 3;72.37
2019;91 Berg Fidel;Anteil der weiblichen Kinder mit Migrationsvorgeschichte an allen weiblichen Kindern - Kernindikator 3;72.24
2015;91 Berg Fidel;Anteil der männlichen Kinder mit Migrationsvorgeschichte an allen männlichen Kindern - Kernindikator 3;71.94
2020;91 Berg Fidel;Anteil der weiblichen Kinder mit Migrationsvorgeschichte an allen weiblichen Kindern - Kernindikator 3;71.88
2019;61 Coerde;Anteil der weiblichen Kinder mit Migrationsvorgeschichte an allen weiblichen Kindern - Kernindikator 3;70.33
2022;61 Coerde;Anteil der weiblichen Kinder mit Migrationsvorgeschichte an allen weiblichen Kindern - Kernindikator 3;69.72
2014;91 Berg Fidel;Anteil der weiblichen Kinder mit Migrationsvorgeschichte an allen weiblichen Kindern - Kernindikator 3;69.58
2021;61 Coerde;Anteil der weiblichen Kinder mit Migrationsvorgeschichte an allen weiblichen Kindern - Kernindikator 3;69.53
2019;61 Coerde;Anteil der Kinder mit Migrationsvorgeschichte an allen Kindern - Kernindikator 3;69.42
2020;61 Coerde;Anteil der weiblichen Kinder mit Migrationsvorgeschichte an allen weiblichen Kindern - Kernindikator 3;69.34
2014;91 Berg Fidel;Anteil der Kinder mit Migrationsvorgeschichte an allen Kindern - Kernindikator 3;69.18
2016;61 Coerde;Anteil der weiblichen Kinder mit Migrationsvorgeschichte an allen weiblichen Kindern - Kernindikator 3;69.05
2018;61 Coerde;Anteil der weiblichen Kinder mit Migrationsvorgeschichte an allen weiblichen Kindern - Kernindikator 3;69.04
2017;61 Coerde;Anteil der weiblichen Kinder mit Migrationsvorgeschichte an allen weiblichen Kindern - Kernindikator 3;68.86
2014;91 Berg Fidel;Anteil der männlichen Kinder mit Migrationsvorgeschichte an allen männlichen Kindern - Kernindikator 3;68.81
2018;61 Coerde;Anteil der Kinder mit Migrationsvorgeschichte an allen Kindern - Kernindikator 3;68.62
2019;61 Coerde;Anteil der männlichen Kinder mit Migrationsvorgeschichte an allen männlichen Kindern - Kernindikator 3;68.6
2022;61 Coerde;Anteil der Kinder mit Migrationsvorgeschichte an allen Kindern - Kernindikator 3;68.59
2020;61 Coerde;Anteil der Kinder mit Migrationsvorgeschichte an allen Kindern - Kernindikator 3;68.52
2015;61 Coerde;Anteil der weiblichen Kinder mit Migrationsvorgeschichte an allen weiblichen Kindern - Kernindikator 3;68.43
2021;61 Coerde;Anteil der Kinder mit Migrationsvorgeschichte an allen Kindern - Kernindikator 3;68.41
2018;61 Coerde;Anteil der männlichen Kinder mit Migrationsvorgeschichte an allen männlichen Kindern - Kernindikator 3;68.24
2017;61 Coerde;Anteil der Kinder mit Migrationsvorgeschichte an allen Kindern - Kernindikator 3;68.19
2016;61 Coerde;Anteil der Kinder mit Migrationsvorgeschichte an allen Kindern - Kernindikator 3;68
2020;61 Coerde;Anteil der männlichen Kinder mit Migrationsvorgeschichte an allen männlichen Kindern - Kernindikator 3;67.75
2017;23 Bahnhof;Anteil der weiblichen Kinder mit Migrationsvorgeschichte an allen weiblichen Kindern - Kernindikator 3;67.57
2022;61 Coerde;Anteil der männlichen Kinder mit Migrationsvorgeschichte an allen männlichen Kindern - Kernindikator 3;67.56
2017;61 Coerde;Anteil der männlichen Kinder mit Migrationsvorgeschichte an allen männlichen Kindern - Kernindikator 3;67.55
2021;61 Coerde;Anteil der männlichen Kinder mit Migrationsvorgeschichte an allen männlichen Kindern - Kernindikator 3;67.37
2021;23 Bahnhof;Anteil der männlichen Kinder mit Migrationsvorgeschichte an allen männlichen Kindern - Kernindikator 3;67.31
2017;23 Bahnhof;Anteil der Kinder mit Migrationsvorgeschichte an allen Kindern - Kernindikator 3;67.12
2016;61 Coerde;Anteil der männlichen Kinder mit Migrationsvorgeschichte an allen männlichen Kindern - Kernindikator 3;67
2015;61 Coerde;Anteil der Kinder mit Migrationsvorgeschichte an allen Kindern - Kernindikator 3;66.91
2017;23 Bahnhof;Anteil der männlichen Kinder mit Migrationsvorgeschichte an allen männlichen Kindern - Kernindikator 3;66.67
2014;61 Coerde;Anteil der weiblichen Kinder mit Migrationsvorgeschichte an allen weiblichen Kindern - Kernindikator 3;66.67
2014;61 Coerde;Anteil der Kinder mit Migrationsvorgeschichte an allen Kindern - Kernindikator 3;65.77
2015;61 Coerde;Anteil der männlichen Kinder mit Migrationsvorgeschichte an allen männlichen Kindern - Kernindikator 3;65.5
2015;43 Hafen;Anteil der männlichen Kinder mit Migrationsvorgeschichte an allen männlichen Kindern - Kernindikator 3;65.38
2014;61 Coerde;Anteil der männlichen Kinder mit Migrationsvorgeschichte an allen männlichen Kindern - Kernindikator 3;64.93
2021;23 Bahnhof;Anteil der Kinder mit Migrationsvorgeschichte an allen Kindern - Kernindikator 3;63.83
2022;23 Bahnhof;Anteil der männlichen Kinder mit Migrationsvorgeschichte an allen männlichen Kindern - Kernindikator 3;63.64
2016;23 Bahnhof;Anteil der weiblichen Kinder mit Migrationsvorgeschichte an allen weiblichen Kindern - Kernindikator 3;63.64
2014;43 Hafen;Anteil der männlichen Kinder mit Migrationsvorgeschichte an allen männlichen Kindern - Kernindikator 3;63.33
2020;23 Bahnhof;Anteil der weiblichen Kinder mit Migrationsvorgeschichte an allen weiblichen Kindern - Kernindikator 3;63.16
2014;23 Bahnhof;Anteil der männlichen Kinder mit Migrationsvorgeschichte an allen männlichen Kindern - Kernindikator 3;62.5
2022;23 Bahnhof;Anteil der Kinder mit Migrationsvorgeschichte an allen Kindern - Kernindikator 3;62.24
2016;23 Bahnhof;Anteil der Kinder mit Migrationsvorgeschichte an allen Kindern - Kernindikator 3;61.97
2020;63 Kinderhaus-West;Anteil der weiblichen Kinder mit Migrationsvorgeschichte an allen weiblichen Kindern - Kernindikator 3;61.92
2020;23 Bahnhof;Anteil der Kinder mit Migrationsvorgeschichte an allen Kindern - Kernindikator 3;61.9
2015;43 Hafen;Anteil der Kinder mit Migrationsvorgeschichte an allen Kindern - Kernindikator 3;61.54
2016;43 Hafen;Anteil der männlichen Kinder mit Migrationsvorgeschichte an allen männlichen Kindern - Kernindikator 3;61.54
2022;63 Kinderhaus-West;Anteil der männlichen Kinder mit Migrationsvorgeschichte an allen männlichen Kindern - Kernindikator 3;61.41
2021;63 Kinderhaus-West;Anteil der weiblichen Kinder mit Migrationsvorgeschichte an allen weiblichen Kindern - Kernindikator 3;61.26
2022;63 Kinderhaus-West;Anteil der Kinder mit Migrationsvorgeschichte an allen Kindern - Kernindikator 3;61.12
2020;63 Kinderhaus-West;Anteil der Kinder mit Migrationsvorgeschichte an allen Kindern - Kernindikator 3;61.07
2019;63 Kinderhaus-West;Anteil der weiblichen Kinder mit Migrationsvorgeschichte an allen weiblichen Kindern - Kernindikator 3;60.93
2021;63 Kinderhaus-West;Anteil der Kinder mit Migrationsvorgeschichte an allen Kindern - Kernindikator 3;60.88
2020;23 Bahnhof;Anteil der männlichen Kinder mit Migrationsvorgeschichte an allen männlichen Kindern - Kernindikator 3;60.87
2022;63 Kinderhaus-West;Anteil der weiblichen Kinder mit Migrationsvorgeschichte an allen weiblichen Kindern - Kernindikator 3;60.81
2017;43 Hafen;Anteil der männlichen Kinder mit Migrationsvorgeschichte an allen männlichen Kindern - Kernindikator 3;60.71
2021;63 Kinderhaus-West;Anteil der männlichen Kinder mit Migrationsvorgeschichte an allen männlichen Kindern - Kernindikator 3;60.54
2016;23 Bahnhof;Anteil der männlichen Kinder mit Migrationsvorgeschichte an allen männlichen Kindern - Kernindikator 3;60.53
2022;23 Bahnhof;Anteil der weiblichen Kinder mit Migrationsvorgeschichte an allen weiblichen Kindern - Kernindikator 3;60.47
2020;63 Kinderhaus-West;Anteil der männlichen Kinder mit Migrationsvorgeschichte an allen männlichen Kindern - Kernindikator 3;60.3
2019;63 Kinderhaus-West;Anteil der Kinder mit Migrationsvorgeschichte an allen Kindern - Kernindikator 3;60.07
2020;6 Münster-Nord;Anteil der weiblichen Kinder mit Migrationsvorgeschichte an allen weiblichen Kindern - Kernindikator 3;59.53
2022;6 Münster-Nord;Anteil der weiblichen Kinder mit Migrationsvorgeschichte an allen weiblichen Kindern - Kernindikator 3;59.53
2021;23 Bahnhof;Anteil der weiblichen Kinder mit Migrationsvorgeschichte an allen weiblichen Kindern - Kernindikator 3;59.52
2018;23 Bahnhof;Anteil der männlichen Kinder mit Migrationsvorgeschichte an allen männlichen Kindern - Kernindikator 3;59.46
2019;6 Münster-Nord;Anteil der weiblichen Kinder mit Migrationsvorgeschichte an allen weiblichen Kindern - Kernindikator 3;59.42
2021;6 Münster-Nord;Anteil der weiblichen Kinder mit Migrationsvorgeschichte an allen weiblichen Kindern - Kernindikator 3;59.34
2018;63 Kinderhaus-West;Anteil der weiblichen Kinder mit Migrationsvorgeschichte an allen weiblichen Kindern - Kernindikator 3;59.3
2019;63 Kinderhaus-West;Anteil der männlichen Kinder mit Migrationsvorgeschichte an allen männlichen Kindern - Kernindikator 3;59.29
2022;6 Münster-Nord;Anteil der Kinder mit Migrationsvorgeschichte an allen Kindern - Kernindikator 3;59.27
2014;23 Bahnhof;Anteil der Kinder mit Migrationsvorgeschichte an allen Kindern - Kernindikator 3;59.26
2020;6 Münster-Nord;Anteil der Kinder mit Migrationsvorgeschichte an allen Kindern - Kernindikator 3;59.18
2021;6 Münster-Nord;Anteil der Kinder mit Migrationsvorgeschichte an allen Kindern - Kernindikator 3;59.06
2022;6 Münster-Nord;Anteil der männlichen Kinder mit Migrationsvorgeschichte an allen männlichen Kindern - Kernindikator 3;59.03
2019;6 Münster-Nord;Anteil der Kinder mit Migrationsvorgeschichte an allen Kindern - Kernindikator 3;58.98
2020;6 Münster-Nord;Anteil der männlichen Kinder mit Migrationsvorgeschichte an allen männlichen Kindern - Kernindikator 3;58.84
2022;28 Neutor;Anteil der männlichen Kinder mit Migrationsvorgeschichte an allen männlichen Kindern - Kernindikator 3;58.84
2017;63 Kinderhaus-West;Anteil der weiblichen Kinder mit Migrationsvorgeschichte an allen weiblichen Kindern - Kernindikator 3;58.83
2021;6 Münster-Nord;Anteil der männlichen Kinder mit Migrationsvorgeschichte an allen männlichen Kindern - Kernindikator 3;58.81
2017;63 Kinderhaus-West;Anteil der Kinder mit Migrationsvorgeschichte an allen Kindern - Kernindikator 3;58.7
2019;6 Münster-Nord;Anteil der männlichen Kinder mit Migrationsvorgeschichte an allen männlichen Kindern - Kernindikator 3;58.57
2017;63 Kinderhaus-West;Anteil der männlichen Kinder mit Migrationsvorgeschichte an allen männlichen Kindern - Kernindikator 3;58.57
2018;63 Kinderhaus-West;Anteil der Kinder mit Migrationsvorgeschichte an allen Kindern - Kernindikator 3;58.55
2018;6 Münster-Nord;Anteil der weiblichen Kinder mit Migrationsvorgeschichte an allen weiblichen Kindern - Kernindikator 3;58.42
2017;6 Münster-Nord;Anteil der weiblichen Kinder mit Migrationsvorgeschichte an allen weiblichen Kindern - Kernindikator 3;58.4
2019;23 Bahnhof;Anteil der weiblichen Kinder mit Migrationsvorgeschichte an allen weiblichen Kindern - Kernindikator 3;58.33
2018;6 Münster-Nord;Anteil der Kinder mit Migrationsvorgeschichte an allen Kindern - Kernindikator 3;58.18
2016;63 Kinderhaus-West;Anteil der männlichen Kinder mit Migrationsvorgeschichte an allen männlichen Kindern - Kernindikator 3;58.17
2017;6 Münster-Nord;Anteil der Kinder mit Migrationsvorgeschichte an allen Kindern - Kernindikator 3;58.1
2022;28 Neutor;Anteil der Kinder mit Migrationsvorgeschichte an allen Kindern - Kernindikator 3;57.97
2018;6 Münster-Nord;Anteil der männlichen Kinder mit Migrationsvorgeschichte an allen männlichen Kindern - Kernindikator 3;57.96
2018;63 Kinderhaus-West;Anteil der männlichen Kinder mit Migrationsvorgeschichte an allen männlichen Kindern - Kernindikator 3;57.86
2017;6 Münster-Nord;Anteil der männlichen Kinder mit Migrationsvorgeschichte an allen männlichen Kindern - Kernindikator 3;57.82
2015;63 Kinderhaus-West;Anteil der männlichen Kinder mit Migrationsvorgeschichte an allen männlichen Kindern - Kernindikator 3;57.73
2015;43 Hafen;Anteil der weiblichen Kinder mit Migrationsvorgeschichte an allen weiblichen Kindern - Kernindikator 3;57.69
2016;6 Münster-Nord;Anteil der weiblichen Kinder mit Migrationsvorgeschichte an allen weiblichen Kindern - Kernindikator 3;57.61
2016;63 Kinderhaus-West;Anteil der Kinder mit Migrationsvorgeschichte an allen Kindern - Kernindikator 3;57.42
2014;63 Kinderhaus-West;Anteil der männlichen Kinder mit Migrationsvorgeschichte an allen männlichen Kindern - Kernindikator 3;57.39
2016;6 Münster-Nord;Anteil der Kinder mit Migrationsvorgeschichte an allen Kindern - Kernindikator 3;57.32
2018;23 Bahnhof;Anteil der Kinder mit Migrationsvorgeschichte an allen Kindern - Kernindikator 3;57.14
2018;43 Hafen;Anteil der männlichen Kinder mit Migrationsvorgeschichte an allen männlichen Kindern - Kernindikator 3;57.14
2017;86 Angelmodde;Anteil der männlichen Kinder mit Migrationsvorgeschichte an allen männlichen Kindern - Kernindikator 3;57.09
2016;6 Münster-Nord;Anteil der männlichen Kinder mit Migrationsvorgeschichte an allen männlichen Kindern - Kernindikator 3;57.04
2022;28 Neutor;Anteil der weiblichen Kinder mit Migrationsvorgeschichte an allen weiblichen Kindern - Kernindikator 3;57.03
2019;23 Bahnhof;Anteil der Kinder mit Migrationsvorgeschichte an allen Kindern - Kernindikator 3;56.96
2016;43 Hafen;Anteil der Kinder mit Migrationsvorgeschichte an allen Kindern - Kernindikator 3;56.86
2015;12 Überwasser;Anteil der weiblichen Kinder mit Migrationsvorgeschichte an allen weiblichen Kindern - Kernindikator 3;56.67
2016;63 Kinderhaus-West;Anteil der weiblichen Kinder mit Migrationsvorgeschichte an allen weiblichen Kindern - Kernindikator 3;56.61
2015;63 Kinderhaus-West;Anteil der Kinder mit Migrationsvorgeschichte an allen Kindern - Kernindikator 3;56.59
2014;63 Kinderhaus-West;Anteil der Kinder mit Migrationsvorgeschichte an allen Kindern - Kernindikator 3;56.53
2015;6 Münster-Nord;Anteil der weiblichen Kinder mit Migrationsvorgeschichte an allen weiblichen Kindern - Kernindikator 3;56.21
2015;6 Münster-Nord;Anteil der Kinder mit Migrationsvorgeschichte an allen Kindern - Kernindikator 3;55.89
2019;23 Bahnhof;Anteil der männlichen Kinder mit Migrationsvorgeschichte an allen männlichen Kindern - Kernindikator 3;55.81
2017;81 Gremmendorf-West;Anteil der männlichen Kinder mit Migrationsvorgeschichte an allen männlichen Kindern - Kernindikator 3;55.78
2014;43 Hafen;Anteil der Kinder mit Migrationsvorgeschichte an allen Kindern - Kernindikator 3;55.74
2014;63 Kinderhaus-West;Anteil der weiblichen Kinder mit Migrationsvorgeschichte an allen weiblichen Kindern - Kernindikator 3;55.61
2015;6 Münster-Nord;Anteil der männlichen Kinder mit Migrationsvorgeschichte an allen männlichen Kindern - Kernindikator 3;55.6
2017;81 Gremmendorf-West;Anteil der Kinder mit Migrationsvorgeschichte an allen Kindern - Kernindikator 3;55.36
2015;63 Kinderhaus-West;Anteil der weiblichen Kinder mit Migrationsvorgeschichte an allen weiblichen Kindern - Kernindikator 3;55.36
2014;6 Münster-Nord;Anteil der männlichen Kinder mit Migrationsvorgeschichte an allen männlichen Kindern - Kernindikator 3;55.18
2014;6 Münster-Nord;Anteil der Kinder mit Migrationsvorgeschichte an allen Kindern - Kernindikator 3;55.16
2014;6 Münster-Nord;Anteil der weiblichen Kinder mit Migrationsvorgeschichte an allen weiblichen Kindern - Kernindikator 3;55.13
2017;81 Gremmendorf-West;Anteil der weiblichen Kinder mit Migrationsvorgeschichte an allen weiblichen Kindern - Kernindikator 3;54.96
2015;81 Gremmendorf-West;Anteil der männlichen Kinder mit Migrationsvorgeschichte an allen männlichen Kindern - Kernindikator 3;54.85
2015;23 Bahnhof;Anteil der männlichen Kinder mit Migrationsvorgeschichte an allen männlichen Kindern - Kernindikator 3;54.84
2017;86 Angelmodde;Anteil der Kinder mit Migrationsvorgeschichte an allen Kindern - Kernindikator 3;54.77
2018;86 Angelmodde;Anteil der männlichen Kinder mit Migrationsvorgeschichte an allen männlichen Kindern - Kernindikator 3;54.62
2016;86 Angelmodde;Anteil der männlichen Kinder mit Migrationsvorgeschichte an allen männlichen Kindern - Kernindikator 3;54.58
2014;23 Bahnhof;Anteil der weiblichen Kinder mit Migrationsvorgeschichte an allen weiblichen Kindern - Kernindikator 3;54.55
2018;23 Bahnhof;Anteil der weiblichen Kinder mit Migrationsvorgeschichte an allen weiblichen Kindern - Kernindikator 3;54.55
2015;86 Angelmodde;Anteil der männlichen Kinder mit Migrationsvorgeschichte an allen männlichen Kindern - Kernindikator 3;54.01
2017;43 Hafen;Anteil der Kinder mit Migrationsvorgeschichte an allen Kindern - Kernindikator 3;54
2020;86 Angelmodde;Anteil der männlichen Kinder mit Migrationsvorgeschichte an allen männlichen Kindern - Kernindikator 3;53.71
2019;86 Angelmodde;Anteil der männlichen Kinder mit Migrationsvorgeschichte an allen männlichen Kindern - Kernindikator 3;53.6
2022;12 Überwasser;Anteil der männlichen Kinder mit Migrationsvorgeschichte an allen männlichen Kindern - Kernindikator 3;53.57
2015;23 Bahnhof;Anteil der Kinder mit Migrationsvorgeschichte an allen Kindern - Kernindikator 3;53.33
2015;86 Angelmodde;Anteil der Kinder mit Migrationsvorgeschichte an allen Kindern - Kernindikator 3;53.11
2015;81 Gremmendorf-West;Anteil der Kinder mit Migrationsvorgeschichte an allen Kindern - Kernindikator 3;53.1
2016;86 Angelmodde;Anteil der Kinder mit Migrationsvorgeschichte an allen Kindern - Kernindikator 3;52.96
2021;86 Angelmodde;Anteil der männlichen Kinder mit Migrationsvorgeschichte an allen männlichen Kindern - Kernindikator 3;52.67
2018;86 Angelmodde;Anteil der Kinder mit Migrationsvorgeschichte an allen Kindern - Kernindikator 3;52.51
2019;86 Angelmodde;Anteil der Kinder mit Migrationsvorgeschichte an allen Kindern - Kernindikator 3;52.41
2022;86 Angelmodde;Anteil der männlichen Kinder mit Migrationsvorgeschichte an allen männlichen Kindern - Kernindikator 3;52.4
2017;86 Angelmodde;Anteil der weiblichen Kinder mit Migrationsvorgeschichte an allen weiblichen Kindern - Kernindikator 3;52.37
2020;86 Angelmodde;Anteil der Kinder mit Migrationsvorgeschichte an allen Kindern - Kernindikator 3;52.21
2015;86 Angelmodde;Anteil der weiblichen Kinder mit Migrationsvorgeschichte an allen weiblichen Kindern - Kernindikator 3;52.07
2016;43 Hafen;Anteil der weiblichen Kinder mit Migrationsvorgeschichte an allen weiblichen Kindern - Kernindikator 3;52
2015;23 Bahnhof;Anteil der weiblichen Kinder mit Migrationsvorgeschichte an allen weiblichen Kindern - Kernindikator 3;51.72
2016;86 Angelmodde;Anteil der weiblichen Kinder mit Migrationsvorgeschichte an allen weiblichen Kindern - Kernindikator 3;51.24
2022;81 Gremmendorf-West;Anteil der männlichen Kinder mit Migrationsvorgeschichte an allen männlichen Kindern - Kernindikator 3;51.19
2016;33 Schützenhof;Anteil der männlichen Kinder mit Migrationsvorgeschichte an allen männlichen Kindern - Kernindikator 3;51.15
2019;86 Angelmodde;Anteil der weiblichen Kinder mit Migrationsvorgeschichte an allen weiblichen Kindern - Kernindikator 3;51.14
2015;81 Gremmendorf-West;Anteil der weiblichen Kinder mit Migrationsvorgeschichte an allen weiblichen Kindern - Kernindikator 3;51.04
2014;86 Angelmodde;Anteil der männlichen Kinder mit Migrationsvorgeschichte an allen männlichen Kindern - Kernindikator 3;50.93
2022;86 Angelmodde;Anteil der Kinder mit Migrationsvorgeschichte an allen Kindern - Kernindikator 3;50.83
2018;43 Hafen;Anteil der Kinder mit Migrationsvorgeschichte an allen Kindern - Kernindikator 3;50.79
2021;86 Angelmodde;Anteil der Kinder mit Migrationsvorgeschichte an allen Kindern - Kernindikator 3;50.76
2020;86 Angelmodde;Anteil der weiblichen Kinder mit Migrationsvorgeschichte an allen weiblichen Kindern - Kernindikator 3;50.68
2017;33 Schützenhof;Anteil der männlichen Kinder mit Migrationsvorgeschichte an allen männlichen Kindern - Kernindikator 3;50.57
2014;86 Angelmodde;Anteil der Kinder mit Migrationsvorgeschichte an allen Kindern - Kernindikator 3;50.54
2016;33 Schützenhof;Anteil der Kinder mit Migrationsvorgeschichte an allen Kindern - Kernindikator 3;50.41
2018;86 Angelmodde;Anteil der weiblichen Kinder mit Migrationsvorgeschichte an allen weiblichen Kindern - Kernindikator 3;50.3
2014;86 Angelmodde;Anteil der weiblichen Kinder mit Migrationsvorgeschichte an allen weiblichen Kindern - Kernindikator 3;50.14
2021;12 Überwasser;Anteil der männlichen Kinder mit Migrationsvorgeschichte an allen männlichen Kindern - Kernindikator 3;50
2014;12 Überwasser;Anteil der weiblichen Kinder mit Migrationsvorgeschichte an allen weiblichen Kindern - Kernindikator 3;50
2016;12 Überwasser;Anteil der weiblichen Kinder mit Migrationsvorgeschichte an allen weiblichen Kindern - Kernindikator 3;50
2017;33 Schützenhof;Anteil der Kinder mit Migrationsvorgeschichte an allen Kindern - Kernindikator 3;49.83
2022;81 Gremmendorf-West;Anteil der Kinder mit Migrationsvorgeschichte an allen Kindern - Kernindikator 3;49.77
2016;33 Schützenhof;Anteil der weiblichen Kinder mit Migrationsvorgeschichte an allen weiblichen Kindern - Kernindikator 3;49.65
2016;81 Gremmendorf-West;Anteil der männlichen Kinder mit Migrationsvorgeschichte an allen männlichen Kindern - Kernindikator 3;49.36
2022;12 Überwasser;Anteil der Kinder mit Migrationsvorgeschichte an allen Kindern - Kernindikator 3;49.23
2022;13 Dom;Anteil der männlichen Kinder mit Migrationsvorgeschichte an allen männlichen Kindern - Kernindikator 3;49.23
2022;86 Angelmodde;Anteil der weiblichen Kinder mit Migrationsvorgeschichte an allen weiblichen Kindern - Kernindikator 3;49.21
2017;33 Schützenhof;Anteil der weiblichen Kinder mit Migrationsvorgeschichte an allen weiblichen Kindern - Kernindikator 3;49.06
2016;14 Buddenturm;Anteil der männlichen Kinder mit Migrationsvorgeschichte an allen männlichen Kindern - Kernindikator 3;49.04
2021;86 Angelmodde;Anteil der weiblichen Kinder mit Migrationsvorgeschichte an allen weiblichen Kindern - Kernindikator 3;48.81
2019;43 Hafen;Anteil der männlichen Kinder mit Migrationsvorgeschichte an allen männlichen Kindern - Kernindikator 3;48.72
2016;14 Buddenturm;Anteil der Kinder mit Migrationsvorgeschichte an allen Kindern - Kernindikator 3;48.69
2021;28 Neutor;Anteil der männlichen Kinder mit Migrationsvorgeschichte an allen männlichen Kindern - Kernindikator 3;48.64
2014;43 Hafen;Anteil der weiblichen Kinder mit Migrationsvorgeschichte an allen weiblichen Kindern - Kernindikator 3;48.39
2017;12 Überwasser;Anteil der weiblichen Kinder mit Migrationsvorgeschichte an allen weiblichen Kindern - Kernindikator 3;48.39
2018;33 Schützenhof;Anteil der männlichen Kinder mit Migrationsvorgeschichte an allen männlichen Kindern - Kernindikator 3;48.31
2016;14 Buddenturm;Anteil der weiblichen Kinder mit Migrationsvorgeschichte an allen weiblichen Kindern - Kernindikator 3;48.28
2018;12 Überwasser;Anteil der weiblichen Kinder mit Migrationsvorgeschichte an allen weiblichen Kindern - Kernindikator 3;48.28
2018;12 Überwasser;Anteil der Kinder mit Migrationsvorgeschichte an allen Kindern - Kernindikator 3;48.21
2022;81 Gremmendorf-West;Anteil der weiblichen Kinder mit Migrationsvorgeschichte an allen weiblichen Kindern - Kernindikator 3;48.16
2018;12 Überwasser;Anteil der männlichen Kinder mit Migrationsvorgeschichte an allen männlichen Kindern - Kernindikator 3;48.15
2015;14 Buddenturm;Anteil der weiblichen Kinder mit Migrationsvorgeschichte an allen weiblichen Kindern - Kernindikator 3;48
2016;81 Gremmendorf-West;Anteil der Kinder mit Migrationsvorgeschichte an allen Kindern - Kernindikator 3;47.91
2022;33 Schützenhof;Anteil der weiblichen Kinder mit Migrationsvorgeschichte an allen weiblichen Kindern - Kernindikator 3;47.67
2018;33 Schützenhof;Anteil der Kinder mit Migrationsvorgeschichte an allen Kindern - Kernindikator 3;47.54
2018;28 Neutor;Anteil der weiblichen Kinder mit Migrationsvorgeschichte an allen weiblichen Kindern - Kernindikator 3;47.54
2018;28 Neutor;Anteil der Kinder mit Migrationsvorgeschichte an allen Kindern - Kernindikator 3;47.42
2020;28 Neutor;Anteil der weiblichen Kinder mit Migrationsvorgeschichte an allen weiblichen Kindern - Kernindikator 3;47.42
2022;33 Schützenhof;Anteil der Kinder mit Migrationsvorgeschichte an allen Kindern - Kernindikator 3;47.37
2019;33 Schützenhof;Anteil der weiblichen Kinder mit Migrationsvorgeschichte an allen weiblichen Kindern - Kernindikator 3;47.34
2018;28 Neutor;Anteil der männlichen Kinder mit Migrationsvorgeschichte an allen männlichen Kindern - Kernindikator 3;47.32
2022;51 Gievenbeck;Anteil der männlichen Kinder mit Migrationsvorgeschichte an allen männlichen Kindern - Kernindikator 3;47.3
2019;33 Schützenhof;Anteil der Kinder mit Migrationsvorgeschichte an allen Kindern - Kernindikator 3;47.23
2022;51 Gievenbeck;Anteil der Kinder mit Migrationsvorgeschichte an allen Kindern - Kernindikator 3;47.19
